Date,Sales
2023-05-22,468.0
2023-05-23,318.0
2023-05-24,403.0
2023-05-25,402.0
2023-05-26,424.0
2023-05-27,319.0
2023-05-28,311.0
2023-05-29,399.0
2023-05-30,384.0
2023-05-31,377.0
2023-06-01,378.0
2023-06-02,323.0
2023-06-03,365.0
2023-06-04,365.0
2023-06-05,311.0
2023-06-06,437.0
2023-06-07,364.0
2023-06-08,278.0
2023-06-09,367.0
2023-06-10,283.0
2023-06-11,368.0
2023-06-12,384.0
2023-06-13,283.0
2023-06-14,369.0
2023-06-15,340.0
2023-06-16,358.0
2023-06-17,410.0
2023-06-18,301.0
2023-06-19,274.0
2023-06-20,265.0
2023-06-21,267.0
2023-06-22,303.0
2023-06-23,322.0
2023-06-24,318.0
2023-06-25,345.0
2023-06-26,303.0
2023-06-27,374.0
2023-06-28,288.0
2023-06-29,437.0
2023-06-30,332.0
2023-07-01,257.0
2023-07-02,246.0
2023-07-03,324.0
2023-07-04,289.0
2023-07-05,336.0
2023-07-06,325.0
2023-07-07,298.0
2023-07-08,260.0
2023-07-09,228.0
2023-07-10,282.0
2023-07-11,348.0
2023-07-12,317.0
2023-07-13,246.0
2023-07-14,318.0
2023-07-15,330.0
2023-07-16,269.0
2023-07-17,323.0
2023-07-18,320.0
2023-07-19,262.0
2023-07-20,339.0
2023-07-21,352.0
2023-07-22,380.0
2023-07-23,382.0
2023-07-24,263.0
2023-07-25,288.0
2023-07-26,363.0
2023-07-27,366.0
2023-07-28,369.0
2023-07-29,540.0
2023-07-30,379.0
2023-07-31,411.0
2023-08-01,405.0
2023-08-02,394.0
2023-08-03,349.0
2023-08-04,407.0
2023-08-05,334.0
2023-08-06,365.0
2023-08-07,357.0
2023-08-08,389.0
2023-08-09,505.0
2023-08-10,300.0
2023-08-11,432.0
2023-08-12,322.0
2023-08-13,383.0
2023-08-14,466.0
2023-08-15,420.0
2023-08-16,367.0
2023-08-17,390.0
2023-08-18,465.0
2023-08-19,399.0
2023-08-20,451.0
2023-08-21,448.0
2023-08-22,418.0
2023-08-23,563.0
2023-08-24,492.0
2023-08-25,364.0
2023-08-26,480.0
2023-08-27,443.0
2023-08-28,524.0
2023-08-29,447.0
2023-08-30,486.0
2023-08-31,522.0
2023-09-01,545.0
2023-09-02,447.0
2023-09-03,495.0
2023-09-04,493.0
2023-09-05,490.0
2023-09-06,616.0
2023-09-07,553.0
2023-09-08,475.0
2023-09-09,589.0
2023-09-10,654.0
2023-09-11,604.0
2023-09-12,482.0
2023-09-13,539.0
2023-09-14,631.0
2023-09-15,537.0
2023-09-16,600.0
2023-09-17,621.0
2023-09-18,540.0
2023-09-19,588.0
2023-09-20,434.0
2023-09-21,549.0
2023-09-22,592.0
2023-09-23,547.0
2023-09-24,695.0
2023-09-25,546.0
2023-09-26,600.0
2023-09-27,633.0
2023-09-28,702.0
2023-09-29,562.0
2023-09-30,696.0
2023-10-01,642.0
2023-10-02,596.0
2023-10-03,672.0
2023-10-04,662.0
2023-10-05,625.0
2023-10-06,662.0
2023-10-07,642.0
2023-10-08,670.0
2023-10-09,701.0
2023-10-10,750.0
2023-10-11,611.0
2023-10-12,782.0
2023-10-13,580.0
2023-10-14,673.0
2023-10-15,712.0
2023-10-16,698.0
2023-10-17,655.0
2023-10-18,678.0
2023-10-19,665.0
2023-10-20,662.0
2023-10-21,735.0
2023-10-22,712.0
2023-10-23,661.0
2023-10-24,741.0
2023-10-25,713.0
2023-10-26,739.0
2023-10-27,730.0
2023-10-28,658.0
2023-10-29,672.0
2023-10-30,737.0
2023-10-31,731.0
2023-11-01,699.0
2023-11-02,706.0
2023-11-03,763.0
2023-11-04,670.0
2023-11-05,726.0
2023-11-06,688.0
2023-11-07,686.0
2023-11-08,751.0
2023-11-09,736.0
2023-11-10,734.0
2023-11-11,758.0
2023-11-12,692.0
2023-11-13,723.0
2023-11-14,672.0
2023-11-15,702.0
2023-11-16,677.0
2023-11-17,687.0
2023-11-18,709.0
2023-11-19,636.0
2023-11-20,779.0
2023-11-21,622.0
2023-11-22,609.0
2023-11-23,724.0
2023-11-24,703.0
2023-11-25,692.0
2023-11-26,689.0
2023-11-27,654.0
2023-11-28,606.0
2023-11-29,651.0
2023-11-30,610.0
2023-12-01,689.0
2023-12-02,629.0
2023-12-03,591.0
2023-12-04,613.0
2023-12-05,645.0
2023-12-06,592.0
2023-12-07,575.0
2023-12-08,624.0
2023-12-09,620.0
2023-12-10,578.0
2023-12-11,575.0
2023-12-12,606.0
2023-12-13,517.0
2023-12-14,515.0
2023-12-15,545.0
2023-12-16,565.0
2023-12-17,586.0
2023-12-18,640.0
2023-12-19,604.0
2023-12-20,548.0
2023-12-21,550.0
2023-12-22,496.0
2023-12-23,540.0
2023-12-24,522.0
2023-12-25,547.0
2023-12-26,484.0
2023-12-27,547.0
2023-12-28,592.0
2023-12-29,505.0
2023-12-30,525.0
2023-12-31,535.0
